year,domain,title,representation,realism,scale,url,author
2026,Power,PyPSA/pypsa-eur: PyPSA-Eur: A Sector-Coupled Open Optimisation Model of the European Energy System,Symbolic format,Real,Large-Benchmark,https://github.com/PyPSA/pypsa-eur/tree/master,Tom Brown and Marta Victoria and Elisabeth Zeyen and Fabian Hofmann and Fabian Neumann and Martha Frysztacki and Johannes Hampp and David Schlachtberger and Jonas HÃ¶rsch and Amos Schledorn and Caspar SchauÃŸ and Koen van Greevenbroek and Markus Millinger and Philipp Glaum and Bobby Xiong and Toni Seibold
2026,Power,PyPSA-USA: An Open-Source Energy System Optimization Model for the United States,Symbolic format,Real,Large-Benchmark,https://zenodo.org/records/18601519,Kamran Tehranchi and Trevor Barnes and Martha Frysztacki and Fabian Hofmann and InÃªs L. Azevedo
2026,Power,Test Case Repository for High Energy Study,Symbolic format,Anonymized,Small/Single-domain,https://www.nlr.gov/grid/test-case-repository,Jin Tan
2026,Power,Power Systems Test Case Archive,Symbolic format,Anonymized,Small/Single-domain,https://labs.ece.uw.edu/pstca/,University of Washington College of Engineering
2017,Power,IEEE PES Test Feeder,Symbolic format,Anonymized,Large-Benchmark,https://cmte.ieee.org/pes-testfeeders/resources/,IEEE Power and Energy Society
2016,Power,GridKit: European and North-American extracts,Tabular,Anonymized,Large-Benchmark,https://www.doi.org/10.5281/ZENODO.47317,Bart Wiegmans
2018,Power,TUWien_LV_TestGrids,Tabular,Anonymized,Small/Single-domain,https://data.mendeley.com/datasets/hgh8c99tnx/1,Daniel-Leon Schultis and Albana Ilo
2018,Power,Columbia University Synthetic Power Grid with Geographical Coordinates,Tabular,Anonymized,Large-Benchmark,https://wimnet.ee.columbia.edu/portfolio/synthetic-power-grids-data-sets/,Saleh Soltan and Alexander Loh and Gil Zussman
2018,Power,Item - Node information of Chilean power grid without tap - figshare - Figshare,Tabular,Anonymized,Large-Benchmark,https://doi.org/10.6084/m9.figshare.6066587,Heetae Kim and David Olave-Rojas and Eduardo Ãlvarez-Miranda and Seung Woo Son
2020,Power,"OEDI: SMART-DS Synthetic Electrical Network Data OpenDSS Models for SFO, GSO, and AUS",Tabular,Synthetic,Large-Benchmark,https://data.openei.org/submissions/2981,Bryan Palmintier and Carlos Mateo Domingo and Fernando Emilio Postigo Marcos and Tomas Gomez San Roman and Fernando de Cuadra and Nicolas Gensollen and Tarek Elgindy and Pablo Duenas
2020,Power,测试系统数据：IEEE33+Nguyen.xlsx,Tabular,Anonymized,Small/Single-domain,https://figshare.com/articles/dataset/___IEEE33_Nguyen_xlsx/13296917/1?file=25620272,Shiwei Xie
